epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202111,2021-03-15,324,PE,Ouricuri,2609907,city,1401,2002.31531,11,49,0,0.035,69969,True,False
202111,2021-03-15,351,PE,Palmares,2610004,city,2739,4313.38583,9,88,0,0.0321,63500,True,False
202111,2021-03-15,303,PE,Palmeirina,2610103,city,98,1289.47368,0,4,0,0.0408,7600,True,False
202111,2021-03-15,328,PE,Panelas,2610202,city,507,1916.38948,0,22,0,0.0434,26456,True,False
202111,2021-03-15,307,PE,Paranatama,2610301,city,325,2809.96023,1,10,0,0.0308,11566,True,False
202111,2021-03-15,299,PE,Parnamirim,2610400,city,667,3017.28038,0,21,0,0.0315,22106,True,False
202111,2021-03-15,342,PE,Passira,2610509,city,842,2914.09981,1,38,0,0.0451,28894,True,False
202111,2021-03-15,344,PE,Paudalho,2610608,city,1356,2381.74697,10,54,0,0.0398,56933,True,False
202111,2021-03-15,347,PE,Paulista,2610707,city,7154,2139.50762,30,528,2,0.0738,334376,True,False
202111,2021-03-15,331,PE,Pedra,2610806,city,523,2307.21722,0,10,0,0.0191,22668,True,False
202111,2021-03-15,333,PE,Pesqueira,2610905,city,2440,3602.27357,10,52,0,0.0213,67735,True,False
202111,2021-03-15,322,PE,Petrolândia,2611002,city,1036,2807.51199,2,22,0,0.0212,36901,True,False
202111,2021-03-15,358,PE,Petrolina,2611101,city,18239,5147.65027,44,209,2,0.0115,354317,True,False
202111,2021-03-15,331,PE,Poção,2611200,city,183,1618.75276,1,6,0,0.0328,11305,True,False
202111,2021-03-15,341,PE,Pombos,2611309,city,1072,3948.7255,7,30,1,0.028,27148,True,False
202111,2021-03-15,323,PE,Primavera,2611408,city,165,1092.64287,0,18,0,0.1091,15101,True,False
202111,2021-03-15,339,PE,Quipapá,2611507,city,474,1810.88825,12,9,1,0.019,26175,True,False
202111,2021-03-15,328,PE,Quixaba,2611533,city,303,4452.60838,0,8,1,0.0264,6805,True,False
202111,2021-03-15,369,PE,Recife,2611606,city,78117,4724.45374,934,3168,7,0.0406,1653461,True,False
202111,2021-03-15,302,PE,Riacho das Almas,2611705,city,561,2717.23336,0,13,0,0.0232,20646,True,False
202111,2021-03-15,335,PE,Ribeirão,2611804,city,282,592.2379,4,54,0,0.1915,47616,True,False
202111,2021-03-15,333,PE,Rio Formoso,2611903,city,495,2094.97207,-1,28,0,0.0566,23628,True,False
202111,2021-03-15,320,PE,Sairé,2612000,city,241,2468.25072,1,4,0,0.0166,9764,True,False
202111,2021-03-15,304,PE,Salgadinho,2612109,city,139,1255.87279,0,3,0,0.0216,11068,True,False
202111,2021-03-15,343,PE,Salgueiro,2612208,city,4664,7614.8182,20,74,2,0.0159,61249,True,False
202111,2021-03-15,309,PE,Saloá,2612307,city,286,1803.05132,0,11,0,0.0385,15862,True,False
202111,2021-03-15,333,PE,Sanharó,2612406,city,824,3064.33618,2,21,0,0.0255,26890,True,False
202111,2021-03-15,313,PE,Santa Cruz,2612455,city,377,2423.19064,1,4,0,0.0106,15558,True,False
202111,2021-03-15,300,PE,Santa Cruz da Baixa Verde,2612471,city,292,2308.3004,0,4,0,0.0137,12650,True,False
202111,2021-03-15,339,PE,Santa Cruz do Capibaribe,2612505,city,4628,4211.21596,89,90,2,0.0194,109897,True,False
202111,2021-03-15,290,PE,Santa Filomena,2612554,city,283,1943.41437,0,6,0,0.0212,14562,True,False
202111,2021-03-15,320,PE,Santa Maria da Boa Vista,2612604,city,611,1451.30641,5,7,0,0.0115,42100,True,False
202111,2021-03-15,322,PE,Santa Maria do Cambucá,2612703,city,491,3452.15496,1,11,0,0.0224,14223,True,False
202111,2021-03-15,293,PE,Santa Terezinha,2612802,city,698,5882.84871,1,19,0,0.0272,11865,True,False
202111,2021-03-15,310,PE,São Benedito do Sul,2612901,city,193,1201.07038,0,10,0,0.0518,16069,True,False
202111,2021-03-15,339,PE,São Bento do Una,2613008,city,1248,2078.54502,11,27,0,0.0216,60042,True,False
202111,2021-03-15,340,PE,São Caitano,2613107,city,962,2574.3952,1,32,0,0.0333,37368,True,False
202111,2021-03-15,320,PE,São João,2613206,city,364,1589.58907,1,9,0,0.0247,22899,True,False
202111,2021-03-15,324,PE,São Joaquim do Monte,2613305,city,440,2056.26694,0,21,0,0.0477,21398,True,False
202111,2021-03-15,338,PE,São José da Coroa Grande,2613404,city,974,4512.18382,0,28,0,0.0287,21586,True,False
202111,2021-03-15,322,PE,São José do Belmonte,2613503,city,1455,4276.77023,10,27,1,0.0186,34021,True,False
202111,2021-03-15,333,PE,São José do Egito,2613602,city,1581,4642.35377,17,18,0,0.0114,34056,True,False
202111,2021-03-15,353,PE,São Lourenço da Mata,2613701,city,2405,2108.18819,16,161,1,0.0669,114079,True,False
202111,2021-03-15,333,PE,São Vicente Férrer,2613800,city,758,4191.31877,0,19,0,0.0251,18085,True,False
202111,2021-03-15,340,PE,Serra Talhada,2613909,city,7341,8446.18305,30,105,1,0.0143,86915,True,False
202111,2021-03-15,308,PE,Serrita,2614006,city,420,2187.95582,2,10,0,0.0238,19196,True,False
202111,2021-03-15,339,PE,Sertânia,2614105,city,1668,4626.90707,1,21,0,0.0126,36050,True,False
202111,2021-03-15,331,PE,Sirinhaém,2614204,city,543,1171.24307,0,31,0,0.0571,46361,True,False
202111,2021-03-15,286,PE,Solidão,2614402,city,337,5597.0769,0,1,0,0.003,6021,True,False
202111,2021-03-15,334,PE,Surubim,2614501,city,1919,2923.2105,16,49,0,0.0255,65647,True,False
202111,2021-03-15,329,PE,Tabira,2614600,city,1830,6375.41806,6,20,0,0.0109,28704,True,False
202111,2021-03-15,298,PE,Tacaimbó,2614709,city,292,2270.78311,0,6,0,0.0205,12859,True,False
202111,2021-03-15,296,PE,Tacaratu,2614808,city,706,2704.35915,1,19,0,0.0269,26106,True,False
202111,2021-03-15,327,PE,Tamandaré,2614857,city,449,1900.69001,0,21,0,0.0468,23623,True,False
202111,2021-03-15,321,PE,Taquaritinga do Norte,2615003,city,329,1129.53617,1,12,0,0.0365,29127,True,False
202111,2021-03-15,308,PE,Terezinha,2615102,city,211,2931.36982,0,4,0,0.019,7198,True,False
202111,2021-03-15,324,PE,Terra Nova,2615201,city,659,6456.98609,0,8,0,0.0121,10206,True,False
202111,2021-03-15,343,PE,Timbaúba,2615300,city,2201,4168.40271,10,64,1,0.0291,52802,True,False
202111,2021-03-15,339,PE,Toritama,2615409,city,918,1988.56252,2,23,0,0.0251,46164,True,False
202111,2021-03-15,339,PE,Tracunhaém,2615508,city,104,752.91392,2,16,0,0.1538,13813,True,False
